G8_CORNERS degree=4 profile_size=14
TARGET 40404044 profile=192,732,7189,7680,12840,17851,18201,19095,26984,27280,30417,33738,34662,39121
TARGET 40404400 profile=180,3005,6831,6835,12164,14568,19027,20324,25058,26402,30126,31990,33202,35596
TARGET 40404404 profile=3002,7030,8647,12067,14400,14568,17861,20510,23530,26241,29104,29754,30364,35596
TARGET 40404440 profile=1878,3001,5996,9012,17755,18544,20314,20458,24556,26799,30127,32280,36345,36600
TARGET 40404444 profile=152,721,3043,7069,9001,14550,17731,18201,18544,29545,29800,30417,32140,33738
TARGET 40440000 profile=3043,3766,5987,10960,11026,14401,19901,23021,23530,24541,25237,29746,33864,38379
TARGET 40440004 profile=747,1813,8997,10960,11854,17835,19901,26352,27276,30754,32356,35313,36600,38238
TARGET 40440040 profile=2917,7147,7238,11026,11826,18345,19270,23841,25418,26394,31713,35404,38778,39624
TARGET 40440044 profile=2,944,6808,17775,18607,19381,23838,26446,26793,27312,30754,32280,36371,36456
TARGET 40440400 profile=3004,3098,7019,7144,12284,19901,23544,26985,29130,30361,32029,35400,35596,36459
TARGET 40440404 profile=184,1842,5985,6783,14568,14772,17861,19181,23052,26793,30402,30466,34663,38682
TARGET 40440440 profile=3044,7147,9000,14568,14768,18345,22795,23530,26277,29544,30240,30744,32029,35313
TARGET 40440444 profile=944,2002,2952,6784,7692,11012,13593,18550,20450,22774,27280,34584,35400,38778
TARGET 40444000 profile=5,204,3004,10961,11687,17893,17998,23021,27280,30393,32316,33202,35770,39090
TARGET 40444004 profile=5921,6811,7692,11080,19024,23823,25058,26643,27096,30395,30406,35596,35784,36293
TARGET 40444040 profile=192,3001,8640,12164,14401,15692,17755,17980,23793,25178,26446,26795,27096,36459
TARGET 40444044 profile=722,3418,7680,10967,11848,14401,17775,18201,18645,20198,24380,29736,33740,35786
TARGET 40444400 profile=748,3001,7232,10965,12848,17861,17970,26795,27910,30762,32051,35376,36609,39090
TARGET 40444404 profile=1842,2916,3003,6811,7632,10960,11858,12848,17971,23618,23795,32280,35194,36330
TARGET 40444440 profile=721,892,6811,7041,11829,14400,18347,23515,23842,25098,28824,32049,35778,36369
TARGET 40444444 profile=1812,1900,3096,6784,7688,10953,10955,14760,22901,23618,31987,32298,33201,39000
TARGET 44000000 profile=29,907,6047,7193,9008,12588,19069,24611,26081,30754,30763,38221,39481,40098
TARGET 44000004 profile=388,5972,8646,8826,12571,12588,19396,19410,20487,25323,30763,35339,39106,39114
TARGET 44000040 profile=205,2885,5997,9008,12278,12595,19069,22786,23793,27279,29539,30121,35325,36676
TARGET 44000044 profile=16,11337,17850,18646,18802,20198,20528,20554,26081,32355,34177,36006,36636,39697
TARGET 44000400 profile=1842,1901,6045,7189,8647,12578,12840,19396,20554,26243,28966,30458,39481,40176
TARGET 44000404 profile=2116,8647,11012,12574,18549,19513,20524,20528,26081,29401,32352,33155,35337,36450
TARGET 44000440 profile=241,2953,5996,9008,9012,14768,14772,18645,19209,20116,22795,29146,30121,35286
TARGET 44000444 profile=24,1882,2883,6033,12109,18203,20528,22795,27286,31942,33696,36602,36676,38169
TARGET 44004000 profile=27,12841,18201,20117,20458,23034,26089,26241,27275,30247,30395,35378,36676,39700
TARGET 44004004 profile=27,7041,7692,12067,13686,19962,22933,24541,25206,32356,33155,34186,35761,36352
TARGET 44004040 profile=2885,2887,6999,7238,14628,17746,23646,26099,32049,32107,33609,35325,38058,39602
